"train/global_step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/positive_lh_rate","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/positive_lh_rate__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/positive_lh_rate__MAX","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MAX"
"185","0.9444444444444444","0.9444444444444444","0.9444444444444444","9992","9992","9992"
"186","0.2698412698412698","0.2698412698412698","0.2698412698412698","10046","10046","10046"
"187","0.2901960784313726","0.2901960784313726","0.2901960784313726","10100","10100","10100"
"188","0.25","0.25","0.25","10154","10154","10154"
"189","0.9333333333333333","0.9333333333333333","0.9333333333333333","10208","10208","10208"
"190","0.2777777777777778","0.2777777777777778","0.2777777777777778","10262","10262","10262"
"191","0.9372549019607843","0.9372549019607843","0.9372549019607843","10316","10316","10316"
"192","0.27309236947791166","0.27309236947791166","0.27309236947791166","10370","10370","10370"
"193","0.2549019607843137","0.2549019607843137","0.2549019607843137","10424","10424","10424"
"194","0.9251968503937008","0.9251968503937008","0.9251968503937008","10478","10478","10478"
"195","0.9411764705882353","0.9411764705882353","0.9411764705882353","10532","10532","10532"
"196","0.27165354330708663","0.27165354330708663","0.27165354330708663","10586","10586","10586"
"197","0.2559055118110236","0.2559055118110236","0.2559055118110236","10640","10640","10640"
"198","0.2559055118110236","0.2559055118110236","0.2559055118110236","10694","10694","10694"
"199","0.9486166007905138","0.9486166007905138","0.9486166007905138","10748","10748","10748"
