"train/global_step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh__MAX","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MAX"
"72","9.432821222663282","9.432821222663282","9.432821222663282","3890","3890","3890"
"73","4.570731128108998","4.570731128108998","4.570731128108998","3944","3944","3944"
"74","30.679978668516164","30.679978668516164","30.679978668516164","3998","3998","3998"
"75","1.2874586930586733","1.2874586930586733","1.2874586930586733","4052","4052","4052"
"76","8.63908274884082","8.63908274884082","8.63908274884082","4106","4106","4106"
"77","2.9349984891611185","2.9349984891611185","2.9349984891611185","4160","4160","4160"
"78","3.153812089822142","3.153812089822142","3.153812089822142","4214","4214","4214"
"79","2.6390983188249795","2.6390983188249795","2.6390983188249795","4268","4268","4268"
"80","3.3644851736325503","3.3644851736325503","3.3644851736325503","4322","4322","4322"
"81","5.128945355977061","5.128945355977061","5.128945355977061","4376","4376","4376"
"82","5.207888020680324","5.207888020680324","5.207888020680324","4430","4430","4430"
"83","2.575653205430418","2.575653205430418","2.575653205430418","4484","4484","4484"
"84","4.649934796285336","4.649934796285336","4.649934796285336","4538","4538","4538"
"85","7.104174950728763","7.104174950728763","7.104174950728763","4592","4592","4592"
"86","9.063013799463198","9.063013799463198","9.063013799463198","4646","4646","4646"
"87","2.725152380311272","2.725152380311272","2.725152380311272","4700","4700","4700"
"88","7.369827952296108","7.369827952296108","7.369827952296108","4754","4754","4754"
"89","3.407072338217593","3.407072338217593","3.407072338217593","4808","4808","4808"
"90","7.777078652800421","7.777078652800421","7.777078652800421","4862","4862","4862"
"91","10.885493836055385","10.885493836055385","10.885493836055385","4916","4916","4916"
"92","5.18189951522273","5.18189951522273","5.18189951522273","4970","4970","4970"
"93","3.0429590523976264","3.0429590523976264","3.0429590523976264","5024","5024","5024"
"94","6.632867476591082","6.632867476591082","6.632867476591082","5078","5078","5078"
"95","2.5946383813227136","2.5946383813227136","2.5946383813227136","5132","5132","5132"
"96","4.529049802480573","4.529049802480573","4.529049802480573","5186","5186","5186"
"97","11.641919725192416","11.641919725192416","11.641919725192416","5240","5240","5240"
"98","3.2654126203871887","3.2654126203871887","3.2654126203871887","5294","5294","5294"
"99","3.0193381037120837","3.0193381037120837","3.0193381037120837","5348","5348","5348"
"100","5.445233343719231","5.445233343719231","5.445233343719231","5402","5402","5402"
"101","6.502864605423863","6.502864605423863","6.502864605423863","5456","5456","5456"
"102","9.600911365022444","9.600911365022444","9.600911365022444","5510","5510","5510"
"103","5.250846916416314","5.250846916416314","5.250846916416314","5564","5564","5564"
"104","4.859486128371275","4.859486128371275","4.859486128371275","5618","5618","5618"
"105","2.0935183977508136","2.0935183977508136","2.0935183977508136","5672","5672","5672"
"106","5.840140062887814","5.840140062887814","5.840140062887814","5726","5726","5726"
"107","2.300203547410021","2.300203547410021","2.300203547410021","5780","5780","5780"
"108","6.196830547353322","6.196830547353322","6.196830547353322","5834","5834","5834"
"109","1.5560043319165386","1.5560043319165386","1.5560043319165386","5888","5888","5888"
"110","2.6779355442369086","2.6779355442369086","2.6779355442369086","5942","5942","5942"
