"train/global_step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/unique_valid_program_rate","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/unique_valid_program_rate__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/unique_valid_program_rate__MAX","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MAX"
"166","0.06666666666666667","0.06666666666666667","0.06666666666666667","8966","8966","8966"
"167","0.07421875","0.07421875","0.07421875","9020","9020","9020"
"168","0.0873015873015873","0.0873015873015873","0.0873015873015873","9074","9074","9074"
"169","0.07142857142857142","0.07142857142857142","0.07142857142857142","9128","9128","9128"
"170","0.05952380952380952","0.05952380952380952","0.05952380952380952","9182","9182","9182"
"171","0.06299212598425197","0.06299212598425197","0.06299212598425197","9236","9236","9236"
"172","0.07480314960629922","0.07480314960629922","0.07480314960629922","9290","9290","9290"
"173","0.08267716535433071","0.08267716535433071","0.08267716535433071","9344","9344","9344"
"174","0.06640625","0.06640625","0.06640625","9398","9398","9398"
"175","0.07114624505928854","0.07114624505928854","0.07114624505928854","9452","9452","9452"
"176","0.07936507936507936","0.07936507936507936","0.07936507936507936","9506","9506","9506"
"177","0.051181102362204724","0.051181102362204724","0.051181102362204724","9560","9560","9560"
"178","0.06692913385826772","0.06692913385826772","0.06692913385826772","9614","9614","9614"
"179","0.06324110671936758","0.06324110671936758","0.06324110671936758","9668","9668","9668"
"180","0.06349206349206349","0.06349206349206349","0.06349206349206349","9722","9722","9722"
"181","0.05511811023622047","0.05511811023622047","0.05511811023622047","9776","9776","9776"
"182","0.05555555555555555","0.05555555555555555","0.05555555555555555","9830","9830","9830"
"183","0.06324110671936758","0.06324110671936758","0.06324110671936758","9884","9884","9884"
"184","0.07905138339920949","0.07905138339920949","0.07905138339920949","9938","9938","9938"
"185","0.08333333333333333","0.08333333333333333","0.08333333333333333","9992","9992","9992"
"186","0.07539682539682539","0.07539682539682539","0.07539682539682539","10046","10046","10046"
"187","0.06274509803921569","0.06274509803921569","0.06274509803921569","10100","10100","10100"
"188","0.07142857142857142","0.07142857142857142","0.07142857142857142","10154","10154","10154"
"189","0.07058823529411765","0.07058823529411765","0.07058823529411765","10208","10208","10208"
"190","0.06746031746031746","0.06746031746031746","0.06746031746031746","10262","10262","10262"
"191","0.07058823529411765","0.07058823529411765","0.07058823529411765","10316","10316","10316"
"192","0.05622489959839357","0.05622489959839357","0.05622489959839357","10370","10370","10370"
"193","0.06274509803921569","0.06274509803921569","0.06274509803921569","10424","10424","10424"
"194","0.06299212598425197","0.06299212598425197","0.06299212598425197","10478","10478","10478"
"195","0.0784313725490196","0.0784313725490196","0.0784313725490196","10532","10532","10532"
"196","0.08267716535433071","0.08267716535433071","0.08267716535433071","10586","10586","10586"
"197","0.08661417322834646","0.08661417322834646","0.08661417322834646","10640","10640","10640"
"198","0.06299212598425197","0.06299212598425197","0.06299212598425197","10694","10694","10694"
"199","0.05533596837944664","0.05533596837944664","0.05533596837944664","10748","10748","10748"
